path	line	matches	classification	reason
BRANDING.md	48	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
BRANDING.md	50	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
BRANDING.md	54	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
BRANDING.md	56	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
BRANDING.md	59	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
BRANDING.md	60	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
BRANDING.md	61	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
BRANDING.md	63	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
BRANDING.md	69	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
BRANDING.md	76	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
BRANDING.md	78	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
CLAUDE.md	7	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
CLAUDE.md	10	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
CLAUDE.md	68	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
QWENGRAM_PROJECT_AUDIT.md	11	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
QWENGRAM_PROJECT_AUDIT.md	12	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
QWENGRAM_PROJECT_AUDIT.md	20	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
QWENGRAM_PROJECT_AUDIT.md	41	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
QWENGRAM_PROJECT_AUDIT.md	50	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
QWENGRAM_PROJECT_AUDIT.md	83	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
QWENGRAM_PROJECT_AUDIT.md	99	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
QWENGRAM_PROJECT_AUDIT.md	116	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
QWENGRAM_PROJECT_AUDIT.md	120	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
QWENGRAM_PROJECT_AUDIT.md	175	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
QWENGRAM_PROJECT_AUDIT.md	181	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
QWENGRAM_PROJECT_AUDIT.md	188	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
QWENGRAM_PROJECT_AUDIT.md	193	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
QWENGRAM_PROJECT_AUDIT.md	195	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
QWENGRAM_PROJECT_AUDIT.md	198	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
QWENGRAM_PROJECT_AUDIT.md	200	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
QWENGRAM_PROJECT_AUDIT.md	201	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
QWENGRAM_PROJECT_AUDIT.md	211	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
QWENGRAM_PROJECT_AUDIT.md	217	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
QWENGRAM_PROJECT_AUDIT.md	226	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
QWENGRAM_PROJECT_AUDIT.md	236	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
QWENGRAM_PROJECT_AUDIT.md	255	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
QWENGRAM_PROJECT_AUDIT.md	258	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
QWENGRAM_PROJECT_AUDIT.md	306	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
Qwengram/Enhancements/Demo/BUILD	4	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Demo/BUILD	5	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Demo/Sources/NagramDemo.swift	8	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Demo/Sources/NagramDemo.swift	9	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Demo/Sources/NagramDemo.swift	23	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Demo/Sources/NagramDemo.swift	42	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/LinkMetadata/BUILD	4	1	temporary dependency	Existing metadata provider/protocol/cache
Qwengram/Enhancements/LinkMetadata/BUILD	5	1	temporary dependency	Existing metadata provider/protocol/cache
Qwengram/Enhancements/LinkMetadata/Sources/NagramLinkMetadata.swift	5	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/LinkMetadata/Sources/NagramLinkMetadata.swift	10	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/LinkMetadata/Sources/NagramLinkMetadata.swift	12	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/LinkMetadata/Sources/NagramLinkMetadata.swift	16	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/LinkMetadata/Sources/NagramLinkMetadata.swift	22	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/LinkMetadata/Sources/NagramLinkMetadata.swift	26	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/LinkMetadata/Sources/NagramLinkMetadata.swift	30	1	temporary dependency	Existing metadata provider/protocol/cache
Qwengram/Enhancements/LinkMetadata/Sources/NagramLinkMetadata.swift	31	1	temporary dependency	Existing metadata provider/protocol/cache
Qwengram/Enhancements/LinkMetadata/Sources/NagramLinkMetadata.swift	32	1	temporary dependency	Existing metadata provider/protocol/cache
Qwengram/Enhancements/LinkMetadata/Sources/NagramLinkMetadata.swift	34	1	temporary dependency	Existing metadata provider/protocol/cache
Qwengram/Enhancements/LinkMetadata/Sources/NagramLinkMetadata.swift	35	1	temporary dependency	Existing metadata provider/protocol/cache
Qwengram/Enhancements/LinkMetadata/Sources/NagramLinkMetadata.swift	36	1	temporary dependency	Existing metadata provider/protocol/cache
Qwengram/Enhancements/LinkMetadata/Sources/NagramLinkMetadata.swift	40	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/LinkMetadata/Sources/NagramLinkMetadata.swift	41	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/LinkMetadata/Sources/NagramLinkMetadata.swift	79	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/LinkMetadata/Sources/NagramLinkMetadata.swift	86	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/LinkMetadata/Sources/NagramLinkMetadata.swift	134	2	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/LinkMetadata/Sources/NagramLinkMetadata.swift	135	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/LinkMetadata/Sources/NagramLinkMetadata.swift	136	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/LinkMetadata/Sources/NagramLinkMetadata.swift	148	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/LinkMetadata/Sources/NagramLinkMetadata.swift	161	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/LinkMetadata/Sources/NagramLinkMetadata.swift	178	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/MediaMetadata/BUILD	3	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
Qwengram/Enhancements/MediaMetadata/BUILD	6	1	temporary dependency	Existing metadata provider/protocol/cache
Qwengram/Enhancements/MediaMetadata/BUILD	7	1	temporary dependency	Existing metadata provider/protocol/cache
Qwengram/Enhancements/MediaMetadata/Sources/NagramMediaMetadata.swift	13	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
Qwengram/Enhancements/MediaMetadata/Sources/NagramMediaMetadata.swift	17	1	temporary dependency	Existing metadata provider/protocol/cache
Qwengram/Enhancements/README.md	4	2	attribution/history	Provenance, historical documentation, preserved patch or required marker
Qwengram/Enhancements/README.md	23	2	attribution/history	Provenance, historical documentation, preserved patch or required marker
Qwengram/Enhancements/README.md	34	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
Qwengram/Enhancements/Settings/BUILD	3	2	attribution/history	Provenance, historical documentation, preserved patch or required marker
Qwengram/Enhancements/Settings/BUILD	6	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/BUILD	7	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramAutoTranslateSettings.swift	3	1	attribution/history	Provenance, historical documentation, preserved patch or required marker
Qwengram/Enhancements/Settings/NagramAutoTranslateSettings.swift	5	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramAutoTranslateSettings.swift	8	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramAutoTranslateSettings.swift	10	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramAutoTranslateSettings.swift	15	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramAutoTranslateSettings.swift	21	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramAutoTranslateSettings.swift	23	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	3	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	20	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	25	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	30	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	47	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	53	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	54	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	58	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	59	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	60	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	63	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	64	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	66	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	67	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	71	2	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	72	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	73	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	76	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	77	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	79	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	80	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	96	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	103	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	111	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	121	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	122	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	123	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	129	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	136	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	165	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	189	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	205	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	223	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	243	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	262	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	273	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	296	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	313	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	318	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	337	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	344	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	346	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	347	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	348	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	349	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	350	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	351	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	352	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	353	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	354	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	355	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	356	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	357	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	360	2	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	369	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	370	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	372	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	374	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	382	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	384	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	389	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	393	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	394	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	395	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	397	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	399	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	401	2	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	402	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	403	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	404	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	405	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	406	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	407	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	408	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	410	2	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	411	2	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	412	2	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	413	2	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	414	2	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	415	2	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	418	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	422	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	424	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	427	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	433	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	434	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	435	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	436	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	437	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	438	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	439	1	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	441	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramBottomBarSettings.swift	452	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramDemoMode.swift	4	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramDemoMode.swift	11	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramMessageDoubleTapAction.swift	3	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramMessageDoubleTapAction.swift	13	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	3	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	54	2	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	55	2	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	56	2	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	57	2	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	59	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	60	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	62	2	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	67	2	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	71	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	72	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	78	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	83	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	90	2	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	91	2	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	95	2	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	96	2	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	97	2	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	101	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	102	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	103	2	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	106	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	107	2	necessary	Persistent identifier, signing/URL compatibility or live setting API
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	110	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	114	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	117	2	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	118	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	119	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramMessageMenuSettings.swift	125	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramPangu.swift	5	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramPangu.swift	33	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramPangu.swift	43	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramPangu.swift	55	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramPangu.swift	59	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramPangu.swift	61	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramPangu.swift	88	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramPangu.swift	90	1	temporary dependency	Live inherited module/type/localization identifier or integration
Qwengram/Enhancements/Settings/NagramRecentChats.swift	4	2	necessary	Persistent identifier, signing/URL compatibility or live setting API
